smiles_1,smiles_2,local_1,local_2,global_1,global_2,global_3,global_4,global_5,global_6,value
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.07,37,-3,0,1,-5.72
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.2,37,-20,0,1,-5.19
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.45,37,-33,0,1,-4.81
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1.2,37,-62,0,1,-4.25
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.06,37,-14,0,1,-5.56
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.15,37,-20,0,1,-5.33
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.33,37,-33,0,1,-5.23
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.89,37,-39,0,1,-4.88
*COC(=O)OC*,*CCO*,95.2,4.8,F[B-](F)(F)F,0.17,37,-23,0,1,-6.51
*COC(=O)OC*,*CCO*,95.2,4.8,F[B-](F)(F)F,0.36,37,-29,0,1,-5.24
*COC(=O)OC*,*CCO*,95.2,4.8,F[B-](F)(F)F,0.54,37,-47,0,1,-5.08
*COC(=O)OC*,*CCO*,95.2,4.8,F[B-](F)(F)F,0.73,37,-69,0,1,-4.34
*COC(=O)OC*,*CCO*,95.2,4.8,[O-][Cl+3]([O-])([O-])[O-],0.2,37,-8,0,1,-5.3
*COC(=O)OC*,*CCO*,95.2,4.8,[O-][Cl+3]([O-])([O-])[O-],0.54,37,-28,0,1,-5.1
*COC(=O)OC*,*CCO*,95.2,4.8,[O-][Cl+3]([O-])([O-])[O-],1.21,37,-1,0,1,-5.64
*COC(=O)OC*,*CCO*,95.2,4.8,[O-][Cl+3]([O-])([O-])[O-],3.23,37,2,0,1,-6.57
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([O-])C(F)(F)F,0.14,37,-7,0,1,-5.8
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([O-])C(F)(F)F,0.37,37,-16,0,1,-5.2
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([O-])C(F)(F)F,0.83,37,-7,0,1,-6.7
*COC(=O)OC(*)COCCCC,*COC(=O)OC(*)COCCCC,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.1,20.9,-24,0,1,-4.038483989
*COC(=O)OC*,*COC(=O)OC*,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.2,50,34,0,1,-3.73196055
*COC(=O)OC*,*COC(=O)OC*,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.4,50,31,0,1,-3.73196055
*COC(=O)OC*,*COC(=O)OC*,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.6,50,29,0,1,-3.115244274
*COC(=O)OC*,*COC(=O)OC*,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.8,50,25,0,1,-2.757906016
*CC(*)C#N,*CC(*)C(=O)OCCCC,67,33,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1.2,65,-22,0,1,-4.6409
*CC[Si](C)(C*)CCC1COC(=O)O1,*CC[Si](C)(C*)CCC1COC(=O)O1,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.1,17.3,-20,0,1,-5.946921557
*CC[Si](C)(C*)CCC1COC(=O)O1,*CC[Si](C)(C*)CCC1COC(=O)O1,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.25,17.3,-20,0,1,-5.37675071
*CC[Si](C)(C*)CCC1COC(=O)O1,*CC[Si](C)(C*)CCC1COC(=O)O1,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.5,17.3,-20,0,1,-4.246416941
*CC[Si](C)(C*)CCC1COC(=O)O1,*CC[Si](C)(C*)CCC1COC(=O)O1,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1,17.3,-20,0,1,-4.033389013
*CC[Si](C)(C*)CCC1COC(=O)O1,*CC[Si](C)(C*)CCC1COC(=O)O1,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,17.3,-20,0,1,-3.675717545
*CC[Si](C)(C*)CCC1COC(=O)O1,*CC[Si](C)(C*)CCC1COC(=O)O1,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,4,17.3,-15,0,1,-3.68613278
*CC[Si](C)(C*)CCC1COC(=O)O1,*CC[Si](C)(C*)CCC1COC(=O)O1,100,0,O=S(=O)([O-])C(F)(F)F,0.1,17.3,-15,0,1,-6.136082623
*CC[Si](C)(C*)CCC1COC(=O)O1,*CC[Si](C)(C*)CCC1COC(=O)O1,100,0,O=S(=O)([O-])C(F)(F)F,0.3,17.3,-15,0,1,-6.136082623
*CC[Si](C)(C*)CCC1COC(=O)O1,*CC[Si](C)(C*)CCC1COC(=O)O1,100,0,O=S(=O)([O-])C(F)(F)F,0.5,17.3,-20,0,1,-6.449771647
*CC[Si](C)(C*)CCC1COC(=O)O1,*CC[Si](C)(C*)CCC1COC(=O)O1,100,0,O=S(=O)([O-])C(F)(F)F,0.7,17.3,-15,0,1,-6.504455662
*CC[Si](C)(C*)CCC1COC(=O)O1,*CC[Si](C)(C*)CCC1COC(=O)O1,100,0,O=S(=O)([O-])C(F)(F)F,1,17.3,-25,0,1,-6.982966661
*CC[Si](C)(C*)CCC1COC(=O)O1,*CC[Si](C)(C*)CCC1COC(=O)O1,100,0,O=S(=O)([O-])C(F)(F)F,2,17.3,-15,0,1,-7.159266765
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.25,90.6,-10,0,1,-6.54668166
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.5,90.6,0,0,1,-5.501689446
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1,90.6,-5,0,1,-4.567030709
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,90.6,-20,0,1,-3.617982957
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,4,90.6,-25,0,1,-3.269217724
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,100,0,O=S(=O)([O-])C(F)(F)F,0.1,90.6,-10,0,1,-6.302770657
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,100,0,O=S(=O)([O-])C(F)(F)F,0.3,90.6,0,0,1,-5.100179498
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,100,0,O=S(=O)([O-])C(F)(F)F,0.4,90.6,-5,0,1,-4.954677021
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,100,0,O=S(=O)([O-])C(F)(F)F,0.7,90.6,-5,0,1,-4.924453039
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,100,0,O=S(=O)([O-])C(F)(F)F,1,90.6,-5,0,1,-5.804100348
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1,100,0,O=S(=O)([O-])C(F)(F)F,2,90.6,-5,0,1,-6.013676223
*CCCCC(=O)OC*,*CCOC(=O)OC*,80,20,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.1,257,-50,0,1,-3.982966661
*CCCCC(=O)OC*,*CCOC(=O)OC*,80,20,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.15,257,-40,0,1,-3.55129368
*CCCCC(=O)OC*,*CCOC(=O)OC*,80,20,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.22,257,-36,0,1,-3.488116639
*CCCCC(=O)OC*,*CCOC(=O)OC*,80,20,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.31,257,-38,0,1,-4.022276395
*COC(=O)CC(=O)OC*,*COC(=O)CC(=O)OC*,100,0,O=S(=O)([O-])C(F)(F)F,0.03,2.3,-13,0,1,-4.799718968
*COC(=O)CC(=O)OC*,*COC(=O)CC(=O)OC*,100,0,O=S(=O)([O-])C(F)(F)F,0.06,2.3,-8,0,1,-4.63172428
*COC(=O)CC(=O)OC*,*COC(=O)CC(=O)OC*,100,0,O=S(=O)([O-])C(F)(F)F,0.12,2.3,-5,0,1,-4.788887845
*COC(=O)CC(=O)OC*,*COC(=O)CC(=O)OC*,100,0,O=S(=O)([O-])C(F)(F)F,0.25,2.3,-3,0,1,-4.976589913
*COC(=O)CC(=O)OC*,*COC(=O)CC(=O)OC*,100,0,O=S(=O)([O-])C(F)(F)F,0.5,2.3,16,0,1,-5.572467833
*COC(=O)CCCCC(=O)OC*,*COC(=O)CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.01,10,-41,0,1,-5.047609011
*COC(=O)CCCCC(=O)OC*,*COC(=O)CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.03,10,-38,0,1,-4.117827621
*COC(=O)CCCCC(=O)OC*,*COC(=O)CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.04,10,-33,0,1,-3.705147886
*COC(=O)CCCCC(=O)OC*,*COC(=O)CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.09,10,-28,0,1,-3.560201203
*COC(=O)CCCCC(=O)OC*,*COC(=O)CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.15,10,-18,0,1,-3.599487034
*COC(=O)CCCCC(=O)OC*,*COC(=O)CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.21,10,-7,0,1,-3.821328683
*COC(=O)CCCCC(=O)OC*,*COC(=O)CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.35,10,-8,0,1,-4.451206782
*CCCOC(=O)CCCCC(=O)OC*,*CCCOC(=O)CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.03,12,-49,0,1,-4.0730617
*CCCOC(=O)CCCCC(=O)OC*,*CCCOC(=O)CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.05,12,-46,0,1,-3.668629327
*CCCOC(=O)CCCCC(=O)OC*,*CCCOC(=O)CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.11,12,-42,0,1,-3.42999049
*CCCOC(=O)CCCCC(=O)OC*,*CCCOC(=O)CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.24,12,-32,0,1,-3.69654523
*CCCCCOC(=O)CCCCC(=O)OC*,*CCCCCOC(=O)CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.03,3.8,-54,0,1,-4.193455555
*CCCCCOC(=O)CCCCC(=O)OC*,*CCCCCOC(=O)CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.06,3.8,-49,0,1,-3.762938561
*CCCCCOC(=O)CCCCC(=O)OC*,*CCCCCOC(=O)CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.12,3.8,-42,0,1,-3.462945651
*CCCCCOC(=O)CCCCC(=O)OC*,*CCCCCOC(=O)CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.27,3.8,-37,0,1,-3.502306134
*CCCCC(=O)OC*,*CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.03,65,-55,0,1,-4.607458953
*CCCCC(=O)OC*,*CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.06,65,-50,0,1,-3.954548137
*CCCCC(=O)OC*,*CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.12,65,-46,0,1,-3.570107735
*CCCCC(=O)OC*,*CCCCC(=O)OC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.27,65,-28,0,1,-3.926513004
*COC(=O)CCCC(=O)OC(*)C,*COC(=O)CCCC(=O)OC(*)C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.01,8.8,-25,0,1,-5.588780008
*COC(=O)CCCC(=O)OC(*)C,*COC(=O)CCCC(=O)OC(*)C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.04,8.8,-21,0,1,-4.755114516
*COC(=O)CCCC(=O)OC(*)C,*COC(=O)CCCC(=O)OC(*)C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.06,8.8,-19,0,1,-4.62904256
*COC(=O)CCCC(=O)OC(*)C,*COC(=O)CCCC(=O)OC(*)C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.08,8.8,-16,0,1,-4.66122281
*COC(=O)CCCC(=O)OC(*)C,*COC(=O)CCCC(=O)OC(*)C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.1,8.8,-12,0,1,-4.785257582
*COC(=O)CCCC(=O)OC(*)C,*COC(=O)CCCC(=O)OC(*)C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.14,8.8,-9,0,1,-4.813752317
*COC(=O)COCC(=O)OC(*)C,*COC(=O)COCC(=O)OC(*)C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.01,6.7,14,0,1,-6.539097932
*COC(=O)COCC(=O)OC(*)C,*COC(=O)COCC(=O)OC(*)C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.03,6.7,18,0,1,-6.38075676
*COC(=O)COCC(=O)OC(*)C,*COC(=O)COCC(=O)OC(*)C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.04,6.7,19,0,1,-5.951441712
*COC(=O)COCC(=O)OC(*)C,*COC(=O)COCC(=O)OC(*)C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.05,6.7,22,0,1,-5.891551102
*COC(=O)COCC(=O)OC(*)C,*COC(=O)COCC(=O)OC(*)C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.07,6.7,26,0,1,-5.909080719
*COC(=O)COCC(=O)OC(*)C,*COC(=O)COCC(=O)OC(*)C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.09,6.7,31,0,1,-6.534425323
*COC(=O)CCCC(=O)OC(*)COCC=C,*COC(=O)CCCC(=O)OC(*)COCC=C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.01,10.4,-40,1,0,-5.151567228
*COC(=O)CCCC(=O)OC(*)COCC=C,*COC(=O)CCCC(=O)OC(*)COCC=C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.03,10.4,-35,1,0,-4.810132698
*COC(=O)CCCC(=O)OC(*)COCC=C,*COC(=O)CCCC(=O)OC(*)COCC=C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.04,10.4,-34,1,0,-4.67520887
*COC(=O)CCCC(=O)OC(*)COCC=C,*COC(=O)CCCC(=O)OC(*)COCC=C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.05,10.4,-30,1,0,-4.507251708
*COC(=O)CCCC(=O)OC(*)COCC=C,*COC(=O)CCCC(=O)OC(*)COCC=C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.07,10.4,-26,1,0,-4.484513804
*COC(=O)CCCC(=O)OC(*)COCC=C,*COC(=O)CCCC(=O)OC(*)COCC=C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.09,10.4,-23,1,0,-4.610508632
*COC(=O)COCC(=O)OC(*)COCC=C,*COC(=O)COCC(=O)OC(*)COCC=C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0,8.9,-13,1,0,-5.256906424
*COC(=O)COCC(=O)OC(*)COCC=C,*COC(=O)COCC(=O)OC(*)COCC=C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.02,8.9,-9,1,0,-4.895870094
*COC(=O)COCC(=O)OC(*)COCC=C,*COC(=O)COCC(=O)OC(*)COCC=C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.03,8.9,-6,1,0,-4.821788801
*COC(=O)COCC(=O)OC(*)COCC=C,*COC(=O)COCC(=O)OC(*)COCC=C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.04,8.9,-3,1,0,-4.688594864
*COC(=O)COCC(=O)OC(*)COCC=C,*COC(=O)COCC(=O)OC(*)COCC=C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.05,8.9,0,1,0,-4.599761809
*COC(=O)COCC(=O)OC(*)COCC=C,*COC(=O)COCC(=O)OC(*)COCC=C,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.07,8.9,4,1,0,-4.948854422
*COC(=O)CCC(=O)OC*,*COC(=O)CCC(=O)OC*,100,0,N#C[S-],0.04,23.4,-3,0,1,-7.693177742
*COC(=O)CCCCCCCCC(=O)OC*,*COC(=O)CCCCCCCCC(=O)OC*,100,0,N#C[S-],0.04,33,-37,0,1,-7.384470596
*C1C(*)N(C(C)=O)C(=O)N1C(C)=O,*C1C(*)N(C(C)=O)C(=O)N1C(C)=O,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1,47,24,0,1,-5.658
*C1C(*)N(C(C)=O)C(=O)N1C(C)=O,*C1C(*)N(C(C)=O)C(=O)N1C(C)=O,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.67,47,35,0,1,-5.683
*C1C(*)N(C(C)=O)C(=O)N1C(C)=O,*C1C(*)N(C(C)=O)C(=O)N1C(C)=O,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.33,47,32,0,1,-4.59
*C1C(*)N(C(C)=O)C(=O)N1C(C)=O,*C1C(*)N(C(C)=O)C(=O)N1C(C)=O,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.11,47,39,0,1,-7.344
*CC(*)(C)C#N,*CC(*)(C)C#N,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.5,170,80,0,1,-5.182529456
*CC(*)(C)C#N,*CC(*)(C)C#N,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.33,170,80,0,1,-6.728347089
*CC(*)(C)C#N,*CC(*)(C)C#N,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.17,170,80,0,1,-6.690203809
*CC(*)(C)C#N,*CC(*)(C)C#N,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.12,170,80,0,1,-6.242537778
*CC(*)(C)C#N,*CC(*)(C)C#N,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.08,170,80,0,1,-6.735953645
*CC(*)(C)C#N,*CC(*)(C)C#N,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.06,170,80,0,1,-6.997216472
*CN(C*)CCC#N,*CN(C*)CCC#N,100,0,O=S(=O)([O-])C(F)(F)F,0.1,190,-36,0,1,-4.830599842
*CC(*)O,*CC(*)OC(C)=O,98,2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.25,125000,58,0,1,-6.403909826
*CC(*)O,*CC(*)OC(C)=O,98,2,O=S(=O)([O-])C(F)(F)F,0.25,125000,67,0,1,-7.23847389
*CC(*)O,*CC(*)OC(C)=O,98,2,[O-][Cl+3]([O-])([O-])[O-],0.25,125000,41,0,1,-7.459811029
*CC(*)O,*CC(*)OC(C)=O,98,2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.25,125000,59,0,1,-7.116898221
*CNC*,*CNC*,100,0,O=S(=O)([O-])C(F)(F)F,0.07,122664,-17,0,1,-5.541342791
*CNC*,*CNC*,100,0,O=S(=O)([O-])C(F)(F)F,0.1,122664,-10,0,1,-6.003892002
*CNC*,*CNC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.07,122664,-15,0,1,-5.633429112
*CNC*,*CNC*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.1,122664,0,0,1,-6.379373023
*CN(C)C*,*CN(C)C*,100,0,O=S(=O)([O-])C(F)(F)F,0.06,162707,-42,0,1,-6.017038874
*CN(C)C*,*CN(C)C*,100,0,O=S(=O)([O-])C(F)(F)F,0.1,162707,-33,0,1,-5.971895376
*CN(C)C*,*CN(C)C*,100,0,O=S(=O)([O-])C(F)(F)F,0.17,162707,4,0,1,-7.030151148
*CN(C)C*,*CN(C)C*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.07,162707,-53,0,1,-6.497145169
*CN(C)C*,*CN(C)C*,100,0,[O-][Cl+3]([O-])([O-])[O-],0.1,162707,-20,0,1,-7.591916938
*CN(C)C*,*CN(C)C*,100,0,O=S(=O)([O-])C(F)(F)F,0.04,50,-36,1,0,-4.872981847
*CN(C)C*,*CN(C)C*,100,0,O=S(=O)([O-])C(F)(F)F,0.05,50,-31,1,0,-4.470348068
*CN(C)C*,*CN(C)C*,100,0,O=S(=O)([O-])C(F)(F)F,0.06,50,-30,1,0,-4.55151118
*CN(C)C*,*CN(C)C*,100,0,O=S(=O)([O-])C(F)(F)F,0.07,50,-24,1,0,-5.082716375
*CN(C)C*,*CN(C)C*,100,0,O=S(=O)([O-])C(F)(F)F,0.12,50,-5,1,0,-6.028903531
*CN(C)C*,*CN(C)C*,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0,10,-61,1,0,-4.971466005
*CN(C)C*,*CN(C)C*,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0,10,-61,1,0,-4.885211587
*CN(C)C*,*CN(C)C*,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.01,10,-63,1,0,-4.513827281
*CN(C)C*,*CN(C)C*,100,0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.02,10,-61,1,0,-4.378016645
